timestamp,nodes,messages,lookups,avg_lookup_ms
1763748248,1,2,1,50.00
1763748278,1,5,4,50.00
1763748308,1,8,7,50.00
1763748338,1,11,10,50.00
1763748368,1,14,13,50.00
1763748398,1,17,16,50.00
1763748428,1,20,19,50.00
1763748458,1,23,22,50.00
1763748488,1,26,25,50.00
1763748518,1,29,28,50.00
1763748548,1,32,31,50.00
1763748578,1,35,34,50.00
1763748608,1,38,37,50.00
1763748638,1,41,40,50.00
1763748668,1,44,43,50.00
1763748698,1,47,46,50.00
1763748728,1,50,49,50.00
1763748758,1,54,53,50.00
1763748788,1,56,55,50.00
1763748818,1,59,58,50.00
1763748848,1,62,61,50.00
1763748878,1,65,64,50.00
1763748908,1,69,68,50.00
1763748938,1,71,70,50.00
1763748968,1,75,74,50.00
1763748998,1,77,76,50.00
1763749028,1,80,79,50.00
1763749058,1,84,83,50.00
1763749071,1,85,84,50.00
1763749072,1,85,84,0.00
