timestamp,nodes,messages,lookups,avg_lookup_ms
1763754132,1,3,2,50.00
1763754162,1,6,5,50.00
1763754192,1,9,8,50.00
1763754222,1,12,11,50.00
1763754252,1,15,14,50.00
1763754282,1,18,17,50.00
1763754312,1,21,20,50.00
1763754342,1,24,23,50.00
1763754372,1,27,26,50.00
1763754402,1,30,29,50.00
1763754432,1,32,31,50.00
1763754462,1,36,35,50.00
1763754492,1,39,38,50.00
1763754522,1,42,41,50.00
1763754552,1,45,44,50.00
1763754582,1,48,47,50.00
1763754612,1,51,50,50.00
1763754642,1,54,53,50.00
1763754672,1,57,56,50.00
1763754702,1,60,59,50.00
1763754732,1,62,61,50.00
1763754762,1,66,65,50.00
1763754792,1,69,68,50.00
1763754822,1,71,70,50.00
1763754830,1,72,71,50.00
1763754830,1,72,71,0.00
